,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
332,Neiafu,TO,2020-02-20 04:26:27,-18.65,-173.98,82.4,74,40,4.7,scattered clouds,0.0,0.0
338,Sarangani,PH,2020-02-20 04:26:28,5.4,125.46,80.56,75,0,27.67,clear sky,0.0,0.0
339,Batemans Bay,AU,2020-02-20 04:26:28,-35.72,150.18,75.0,66,0,5.01,clear sky,0.0,0.0
344,Barabai,ID,2020-02-20 04:26:29,-2.58,115.38,89.55,55,22,3.6,few clouds,0.0,0.0
350,Kattivakkam,IN,2020-02-20 04:26:31,13.22,80.32,82.4,58,40,3.36,haze,0.0,0.0
351,Loa Janan,ID,2020-02-20 04:26:31,-0.58,117.09,87.96,55,86,6.35,overcast clouds,0.0,0.0
352,Pemangkat,ID,2020-02-20 04:26:32,1.17,108.97,84.31,70,0,10.16,clear sky,0.0,0.0
354,San Isidro,PE,2020-02-20 04:26:32,-12.12,-77.05,75.2,88,40,11.41,scattered clouds,0.0,0.0
355,Cockburn Town,TC,2020-02-20 04:26:32,21.46,-71.14,77.9,78,0,18.72,clear sky,0.0,0.0
362,San Patricio,MX,2020-02-20 04:26:34,19.22,-104.7,76.28,79,0,4.21,clear sky,0.0,0.0
366,Lucea,JM,2020-02-20 04:26:35,18.45,-78.17,77.0,78,20,2.24,few clouds,0.0,0.0
371,Hindang,PH,2020-02-20 04:26:36,10.43,124.73,88.0,59,77,5.01,broken clouds,0.0,0.0
379,Babag,PH,2020-02-20 04:26:38,7.73,126.07,82.26,55,3,10.4,clear sky,0.0,0.0
390,Thinadhoo,MV,2020-02-20 04:24:05,0.53,72.93,83.19,76,82,14.92,broken clouds,0.0,0.0
405,Gewane,ET,2020-02-20 04:26:43,10.17,40.65,77.23,42,72,6.26,broken clouds,0.0,0.0
412,Baleshwar,IN,2020-02-20 04:26:45,21.49,86.93,76.01,59,100,7.47,overcast clouds,0.0,0.0
419,Passo De Camaragibe,BR,2020-02-20 04:26:46,-9.24,-35.49,75.2,94,40,2.24,scattered clouds,0.0,0.0
424,Marawi,PH,2020-02-20 04:26:47,8.0,124.29,82.0,78,0,8.99,clear sky,0.0,0.0
437,Pitimbu,BR,2020-02-20 04:26:50,-7.47,-34.81,75.2,100,90,6.93,light rain,0.0,0.0
442,Broken Hill,AU,2020-02-20 04:26:51,-31.95,141.43,75.2,27,89,11.41,overcast clouds,0.0,0.0
443,Port Blair,IN,2020-02-20 04:26:51,11.67,92.75,84.2,74,40,9.17,mist,0.0,0.0
444,Poum,NC,2020-02-20 04:26:52,-20.23,164.02,80.62,78,0,15.66,clear sky,0.0,0.0
452,Yeppoon,AU,2020-02-20 04:26:53,-23.13,150.73,96.8,47,20,3.36,few clouds,0.0,0.0
453,Mount Isa,AU,2020-02-20 04:22:59,-20.73,139.5,96.8,19,0,9.17,clear sky,0.0,0.0
463,Kloulklubed,PW,2020-02-20 04:26:56,7.04,134.26,78.8,88,90,4.7,shower rain,0.0,0.0
464,Bima,ID,2020-02-20 04:26:56,-8.47,118.72,75.45,93,100,2.08,overcast clouds,0.0,0.0
468,Le Port,RE,2020-02-20 04:26:57,-20.94,55.29,81.0,65,3,13.87,clear sky,0.0,0.0
469,Mango,US,2020-02-20 04:25:17,27.98,-82.31,75.0,88,90,8.25,overcast clouds,0.0,0.0
474,Kaeo,NZ,2020-02-20 04:26:59,-35.1,173.78,82.99,73,67,1.01,broken clouds,0.0,0.0
478,Nicoya,CR,2020-02-20 04:27:00,10.15,-85.45,84.2,58,68,17.22,broken clouds,0.0,0.0
479,Byron Bay,AU,2020-02-20 04:22:43,-28.65,153.62,86.0,65,36,12.75,scattered clouds,0.0,0.0
